Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 28, 2017",26.33,28.2,24.71,27.1,4795800,237171095
"Jun 27, 2017",25.35,26.19,21.22,26.15,5141850,228902804
"Jun 26, 2017",27.69,29.53,21.71,25.35,8962600,221877471
"Jun 25, 2017",31.29,31.54,24.58,28.03,7089170,245351853
"Jun 24, 2017",33.31,34.58,30.58,31.09,3149050,272163838
"Jun 23, 2017",31.38,36.32,31.2,33.31,7239310,291576727
"Jun 22, 2017",29.71,32.27,28.05,32.25,5892960,282293063
"Jun 21, 2017",32.71,34.2,28.1,29.46,7937990,257861079
"Jun 20, 2017",33.56,36.22,31.09,32.65,9158100,285765465
"Jun 19, 2017",31.42,36.35,31.37,33.45,17409300,292780295
"Jun 18, 2017",31.81,31.81,29.25,31.38,6077040,274664633
"Jun 17, 2017",27.81,33.15,27.55,31.85,12702600,278761140
"Jun 16, 2017",26.61,28,24.69,28,4836350,245109389
"Jun 15, 2017",26.87,27.49,20.67,26.98,7891690,236139090
"Jun 14, 2017",30.98,33.57,25.56,27.02,11141600,236493596
"Jun 13, 2017",24.96,32.53,24.96,30.46,16705400,266645809
"Jun 12, 2017",27.88,29.98,23.23,25.17,7083680,220337779
"Jun 11, 2017",24.62,30.6,24.62,27.52,9682100,240924475
"Jun 10, 2017",32.15,32.15,24.65,24.72,11449100,216406709
"Jun 09, 2017",27.87,31.7,27.19,31.7,11330500,277448157
"Jun 08, 2017",27.73,30.06,25.89,27.72,14435300,242624350
"Jun 07, 2017",31.94,37.07,26.55,27.33,40988800,239250860
"Jun 06, 2017",24.55,34.79,20.66,32.54,72220400,284857757
"Jun 05, 2017",17.38,25.87,17.38,24.44,31647000,213885782
"Jun 04, 2017",15.77,17.66,15,17.56,4783920,153711778
"Jun 03, 2017",14.62,15.97,14.32,15.87,3661030,138872445
"Jun 02, 2017",12.89,14.83,12.81,14.65,2337610,128233783
"Jun 01, 2017",12.35,13.55,12.35,12.9,1360750,112882388
"May 31, 2017",11.61,12.35,11.15,12.33,1631020,107902681
"May 30, 2017",12.84,13.58,11.48,11.54,1864840,100971007
"May 29, 2017",12.51,13.36,11.61,12.75,1820790,111605293
"May 28, 2017",11.96,13.11,11.24,12.62,3316460,110491008
"May 27, 2017",11.95,12.62,8.87,11.79,3635830,103239841
"May 26, 2017",12.16,15.84,11.1,11.91,3120110,104278849
"May 25, 2017",15.62,16.52,12.13,12.24,6252410,107165660
"May 24, 2017",13.99,17.44,13.99,15.18,10628500,132867737
"May 23, 2017",11.52,14.08,11.11,13.97,6377940,122315732
"May 22, 2017",10.8,13.38,10.24,11.59,6297310,101450684
"May 21, 2017",9.96,10.93,9.92,10.81,2250710,94655560
"May 20, 2017",10.3,10.54,9.86,10.05,1483050,87964599
"May 19, 2017",9.03,10.39,8.92,10.31,2606190,90273698
"May 18, 2017",8.76,9.22,8.63,9.05,1764050,79193961
